Date,User,Message
2018-04-16 09:41:13,"최성현","음식?"
2018-04-16 09:41:16,"도영","직장?"
2018-04-16 09:43:07,"최성현","비슷한 종류의 개념을 나열하는게 아니라 좀더 넓은 범위의 상위 개념에 포함되는 하위 개념을 상위 개념에 상속된다라고 이해하면 되는 건가요?"
2018-04-16 09:48:03,"한정섭","상위 개념에 있는게 하위에 있는 것들이 상속 받는다."
2018-04-16 09:50:17,"최성현","상위 개념= 일반적인 요소들을 포함하는 개념. 하위 개념= 상위 개념으로부터 일반적인 요소들을 상속받아 상세한 요소들이 추가된 개념"
2018-04-16 10:29:44,"ㅇ","그럼 메인 함수를 펄슨에 둬야 하나요? 아니면 그냥 따로 만드나요?"
2018-04-16 10:30:20,"최성현","메인은 따로 실행하는 클래스에 있고 일반적으로 정의하는 용도로 사용되는 클래스에는 메인이 없지 않나요?"
2018-04-16 10:30:54,"ㅇ","그렇군요 감사합니당"
2018-04-16 10:52:07,"ㅇ","자바 소스파일을 바꾸는게 컴파일이라고 하셨는데 자바클래스->바이트코드->머신랭귀지니까 두번 컴파일 하는게 아닌가요? 왜 컴파일이랑은 다르다고 하셨는지 차이를 모르겠습니다."
2018-04-16 10:54:33,"ㅇ","감사합니다!"
