Date,User,Message
2018-03-19 09:05:11,"남재창","폭풍우가 몰아치는 아침입니다. 모두 조심히 오세요!"
2018-03-19 09:10:00,"박세은","네~! 잠시 후 봽겠습니다!"
2018-03-19 09:38:42,"정희석","스태틱"
2018-03-19 09:57:34,"김대교","몰라요 "
2018-03-19 09:57:35,"이승용","몰라요"
2018-03-19 09:57:37,"ㅇ","몰라요"
2018-03-19 09:57:38,"정희석","몰라요"
2018-03-19 09:57:38,"이현지","몰라요"
2018-03-19 09:57:40,"성빈","몰라요"
2018-03-19 09:57:41,"미소 :)","알아요"
2018-03-19 09:57:41,"최성현","ㅠㅠ"
2018-03-19 09:57:43,"박세은","모릅니다 ㅠㅠ"
2018-03-19 09:57:46,"최동현","몰라요 "
2018-03-19 09:57:48,"ㅇ","오픈소스는 알아요"
2018-03-19 09:57:49,"최성현","단어는 들어봤어요"
2018-03-19 09:57:50,"재호17","들어가보기만했어요"
2018-03-19 09:57:51,"이승용","오픈소스"
2018-03-19 09:57:52,"이현지","단어만.."
2018-03-19 09:57:53,"정희석","들어만봤어요"
2018-03-19 09:57:54,"미소 :)","들어봣어요11"
2018-03-19 09:57:54,"이준범(zach)","들어는 봤어요"
2018-03-19 09:57:55,"Synergy","오픈소스는 들어봤습니다"
2018-03-19 09:57:55,"이승용","들어봤어요"
2018-03-19 09:57:55,"김기범","들어봤습니다!"
2018-03-19 09:57:55,"성빈","오픈소스수업은듣는데"
2018-03-19 09:58:01,"박세은","단어만 들어봤습니다~"
2018-03-19 09:58:02,"최동현","os는 듣고 잇어요"
2018-03-19 09:58:03,"최성현","오픈소스 소프트웨어강의는 듣는데 ㅠ"
2018-03-19 09:58:08,"미소 :)","네1"
2018-03-19 09:58:11,"최성현","넹"
2018-03-19 09:58:28,"최성현","프리웨어라는 의미로 이해하면 되나요"
2018-03-19 10:16:32,"도영","들어봤어용"
2018-03-19 10:30:24,"김대교","배의 이름"
2018-03-19 10:30:26,"최성현","용도"
2018-03-19 10:30:27,"Synergy","size"
2018-03-19 10:30:29,"정희석","fuel"
2018-03-19 10:30:30,"최성현","재질"
2018-03-19 10:30:41,"이현지","속도"
2018-03-19 10:30:50,"도영","가격"
2018-03-19 10:30:59,"미소 :)","방향"
2018-03-19 10:31:00,"이승용","weight"
2018-03-19 10:31:05,"최성현","용량이랑 선체 길이?"
2018-03-19 10:31:07,"ㅇ","크기"
2018-03-19 10:32:08,"김기범","연료 량"
2018-03-19 10:32:12,"최성현","내구도?"
2018-03-19 10:32:19,"김기범","최대 속도"
2018-03-19 10:32:21,"김대교","제조년도"
2018-03-19 10:32:48,"이현지","종류"
2018-03-19 10:33:35,"정희석","시동"
2018-03-19 10:33:38,"김대교","방향 틀기"
2018-03-19 10:33:45,"ㅇ","멈춤"
2018-03-19 10:33:49,"Synergy","돛내리기"
2018-03-19 10:33:53,"미소 :)","동서남북"
2018-03-19 10:33:54,"최성현","닻내리기"
2018-03-19 10:33:56,"이현지","레이더"
2018-03-19 10:33:58,"한정섭","오른쪽회전"
2018-03-19 10:34:06,"ㅇ","통신"
2018-03-19 10:34:08,"미소 :)","연료확인"
2018-03-19 10:34:10,"한정섭","앞으로전진"
2018-03-19 10:34:16,"이승용","후진"
2018-03-19 10:34:18,"이승용","reverse"
2018-03-19 10:34:54,"최성현","위치확인"
2018-03-19 10:35:14,"미소 :)","수심 혹은 장애물 확인"
2018-03-19 10:56:52,"정희석","information hiding과 encapsulation이 무슨 차이인가요?"
